numero_dpe;conso_5_usages_ep;conso_5_usages_par_m2_ep;conso_chauffage_ep;conso_ecs_ep;conso_refroidissement_ep;conso_eclairage_ep;conso_auxiliaires_ep;conso_5 usages_ef;conso_5 usages_par_m2_ef;conso_chauffage_ef;conso_ecs_ef;conso_refroidissement_ef;conso_eclairage_ef;conso_auxiliaires_ef;conso_5 usages_ef_energie_n1;conso_chauffage_ef_energie_n1;conso_ecs_ef_energie_n1;conso_5 usages_ef_energie_n2;conso_chauffage_ef_energie_n2;Conso_ecs_ef_energie_n2;conso_5_usages_ef_energie_n3;conso_chauffage_ef_energie_n3;conso_ecs_ef_energie_n3;conso_chauffage_installation_chauffage_n1;conso_chauffage_generateur_n1_installation_n1;conso_chauffage_generateur_n2_installation_n1;conso_chauffage_installation_chauffage_n2;conso_chauffage_generateur_n1_installation_n2;conso_chauffage_generateur_n2_installation_n2;conso_ef_installation_ecs_n1;conso_ef_generateur_n1_ecs_n1;conso_ef_generateur_n2_ecs_n1;conso_refroidissement_annuel
2438N2097173L;3788,50;61,00;1704,60;1572,00;0,00;292,50;219,40;3499,20;56,00;1704,60;1572,00;0,00;127,20;95,40;3499,20;1704,60;1572,00;3499,20;1704,60;1572,00;;;;;;;;;;;;;
2438N2065537R;6368,80;78,00;4068,70;1670,50;0,00;396,50;233,20;5782,40;71,00;3860,70;1647,90;0,00;172,40;101,40;5782,40;3860,70;1647,90;5782,40;3860,70;1647,90;;;;;;;;;;;;;
2438N1559313N;6119,20;87,00;3321,20;2427,40;0,00;293,40;77,20;5884,10;83,00;3303,80;2419,10;0,00;127,60;33,60;5884,10;3303,80;2419,10;5884,10;3303,80;2419,10;;;;;;;;;;;;;
2138N0944371U;18745,30;233,00;11490,60;6317,80;0,00;732,70;204,10;8150,10;101,00;4995,90;2746,90;0,00;318,60;88,80;8150,10;4995,90;2746,90;;;;;;;;;;;;;;;;
2338N3546888R;3524,50;73,40;1241,10;1966,30;0,00;68,00;12,00;3345,20;69,70;1241,10;1966,30;0,00;29,60;5,20;3207,30;1241,10;1966,30;34,80;0,00;0,00;;;;;;;;;;;;;
2138N1042978J;2899,10;71,80;1105,90;2152,40;0,00;56,30;7,00;2748,40;68,10;1105,90;1526,50;0,00;24,50;3,10;2632,40;1105,90;1526,50;27,50;0,00;0,00;;;;;;;;;;;;;
2338N0992210V;5037,60;106,50;2866,40;1793,30;0,00;234,20;143,70;4675,00;98,90;2731,10;1779,70;0,00;101,80;62,50;4396,10;2626,90;1769,20;278,90;104,10;10,50;;;;;;;;;;;;;
2138N0609203S;5703,10;76,40;3389,80;2518,90;0,00;116,40;7,30;5405,30;72,40;3389,80;1786,50;0,00;50,60;3,20;5176,20;3389,80;1786,50;53,80;0,00;0,00;;;;;;;;;;;;;
2438N1966935H;2260,90;110,00;972,70;1131,00;0,00;93,20;64,00;2172,10;105,00;972,70;1131,00;0,00;40,50;27,80;2172,10;972,70;1131,00;2172,10;972,70;1131,00;;;;;;;;;;;;;
2438N0475968K;6993,20;75,60;3986,60;2219,10;0,00;130,50;57,10;6280,50;67,90;3719,10;2219,10;0,00;56,80;24,80;5732,40;3513,30;2219,10;287,40;205,80;0,00;;;;;;;;;;;;;
