numero_dpe;cout_total_5_usages_energie_n1;cout_chauffage_energie_n1;cout_ecs_energie_n1;cout_total_5_usages_energie_n2;cout_chauffage_energie_n2;cout_ecs_energie_n2;cout_total_5_usages energie_n3;cout_chauffage_energie_n3;cout_ecs_energie_n3;cout_total_5_usages;cout_chauffage;cout_ecs;cout_refroidissement;cout_eclairage;cout_auxiliaires
2238N0654316W;61.3;0;61.3;149.4;149.4;0;318.5;88.2;0;379.1;237.6;61.3;0;165.8;64.5
2138N0773539I;;;;;;;;;;;;;;;
"Rue Gay""";;;;;;;;;;;;;;;
2238N1618843B;194.9;124.1;70.8;322.1;5.3;2.3;;;;301.3;129.4;73.1;0;157.2;157.2
2438N2096437D;481.9;209.5;190.8;481.9;209.5;190.8;;;;481.9;209.5;190.8;0;46.6;35
2238N3080724G;110.5;110.5;0;327.7;78.6;196.5;;;;438.1;189;196.5;0;33.8;18.9
2138N0648920H;664;478.5;123.7;664;478.5;123.7;;;;664;478.5;123.7;2.5;44.5;14.8
2338N2465731S;202.7;0;202.7;238.1;148.4;0.7;;;;420.7;148.4;203.4;0;83.1;5.9
2138N0609408P;342.6;174.1;168.4;118;0;0;;;;384.9;174.1;168.4;0;111.1;6.9
2238N0198160K;362.6;223;139.6;105.9;0;0;;;;416.3;223;139.6;0;105.9;0
2138N0123485G;673;432;154;;;;;;;673;432;154;0;54;10
2338N2811474N;530.4;365.8;89.2;;;;;;;530.4;365.8;89.2;0;36.6;38.9
2438N2250987J;332.8;162.1;170.7;151.5;0;0;;;;386;162.1;170.7;0;143.5;8
2238N0097553X;174;174;0;307;40;205;;;;481;214;205;0;51;0
2238N2628461N;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2438N1135028W;;;;;;;;;;;;;;;
Bâtiment B;;;;;;;;;;;;;;;
"71 avenue de Claix""";;;;;;;1238280.2;;;;;;;;
2338N1768941C;645;315;249;;;;;;;645;315;249;0;59;22
2238N2506892U;345.6;181.3;164.3;143.7;0;0;;;;406;181.3;164.3;0;136.5;7.2
2238N1580876U;;;;;;;;;;;;;;;
"Résidence Gueta""";;;;;;;1259417.2;;;;;;;;
2338N3429195A;470.3;261.4;130.7;;;;;;;470.3;261.4;130.7;0;51.3;26.9
2238N2206641R;329;329;0;312;94;155;;;;641;423;155;0;45;0
2238N0580512G;1050.3;495.8;444.6;;;;;;;981.7;495.8;444.6;0;103.4;6.5
2238N1070742G;195;95.9;99.1;81.8;0;0;;;;225.8;95.9;99.1;0;61.3;20.4
2338N4168579W;467.3;288.2;111.9;;;;;;;467.3;288.2;111.9;0;42;25.2
2238N0843521Z;450;222;167;;;;;;;450;222;167;0;42;3
2338N2339256H;379.9;132.5;247.4;104.1;0;0;;;;415.8;132.6;247.4;0;92.5;11.6
2238N2930205B;586;407;109;;;;;;;586;407;109;0;52;0
2438N0977902O;541;313;144;;;;;;;541;313;144;0;49;0
2338N2643432J;689;466;128;;;;;;;689;466;128;0;63;16
2138N0490349K;572.5;354.1;127.5;;;;;;;535.6;354.1;127.5;0;53.1;0.9
2238N2855316S;285.5;136.3;149.2;202.6;0;0;;;;362.8;136.3;149.2;0;170.6;32
2238N0285998U;585.1;316.2;154.2;44.3;44.3;0;;;;629.3;360.5;154.2;0;54;60.6
2338N4105252F;467.7;309.6;158.1;204.7;29.7;0;;;;559.1;339.2;158.1;0;129.3;45.7
2238N0579077B;434.1;241.7;192.4;250.1;59.8;0;;;;578.2;301.5;192.4;0;190.4;0
2238N1618825J;245.6;163.6;82;344.2;6;2.8;;;;360.6;169.6;84.8;0;183;152.5
2238N0131392K;249.3;90.6;158.7;122.9;0;0;;;;291.2;90.6;158.7;0;104.4;18.4
2338N2686449W;678.8;465.3;213.5;157.4;6;2.4;;;;740.7;471.4;215.9;0;131.4;17.5
2238N1253815N;776;584.4;191.7;251.4;48.3;2.9;;;;910.7;632.6;194.5;0;187.8;12.5
2238N0407724O;353.4;145.9;207.5;157.6;21;5.1;;;;417.6;166.9;212.6;0;131.5;0
2438N1277350U;575.5;410.3;165.2;142.6;0;0;;;;627.2;410.3;165.1;0;133.7;8.9
2338N2962774T;422.3;204.2;152.1;;;;;;;422.3;204.2;152.1;0;40;26
2438N0033125Z;291.3;127.8;163.4;231.3;9.6;0;;;;359;137.5;163.4;0;127.9;93.8
2338N0148642X;559;403;156;131.3;0;0;;;;605.5;403;156;0;131.3;0
2338N1589356Z;466;268;111;;;;;;;466;268;111;0;54;13
2238N2022826W;441.1;248.1;127.8;;;;;;;441.1;248.1;127.8;0;45.1;20.1
2238N1932616G;512.1;336.6;175.5;154.8;6.5;2.5;;;;573.3;343.1;178;0;145.8;0
2338N0875236V;571.2;110.5;380.5;;;;;;;519.4;110.5;380.5;0;80.2;0
2138N0692291K;466.2;273.3;192.9;192;0;0;;;;535.2;273.3;192.9;0;155.4;36.6
2338N3466378D;439.5;265.4;174.1;147.7;0;0;;;;490.9;265.4;174.1;0;132.9;14.8
2438N1968708M;434;264;120;;;;;;;434;264;120;0;33;0
2438N2263021F;503;262.8;187.8;503;262.8;187.8;;;;503;262.8;187.8;0;42.4;10
2238N1018347B;435.7;207;228.7;223.8;0;0;;;;512.9;207;228.7;0;181.2;42.6
2438N1892935D;;;;;;;;;;;;;;;
"LES VILLAS CELESTES""";;;;;;;;;;;;;;;
2238N0500079R;418.4;237;181.5;169.1;0;0;;;;519;236.9;181.5;0;152.2;16.9
2238N0149030U;414;245;102;;;;;;;414;245;102;0;44;5
2438N1135004Y;;;;;;;;;;;;;;;
Bâtiment B;;;;;;;;;;;;;;;
"71 avenue de Claix""";;;;;;;1238280.2;;;;;;;;
2438N2152908C;347.3;121.7;225.6;208.5;0;0;;;;418.3;121.7;225.6;0;145;63.4
2138N0858638J;597.7;464.7;133;130.5;0;0;;;;651.4;464.7;133;0;122.8;7.7
2338N4368987W;214.3;0;214.3;203.8;6.1;0;;;;292.1;6.1;214.3;0;197.7;0
2238N1126419R;397;170.3;226.8;61.3;3.8;3.8;;;;458.3;174;230.6;0;26;27.7
2338N2339246X;338.5;88.4;250;106.2;0;0;;;;375.1;88.4;250;0;94.4;11.8
2238N2940720M;204;204;0;466;249;161;;;;670;453;161;0;39;0
2438N0394001V;519;325;108;;;;;;;519;325;108;0;59;3
2338N3852797K;227.1;89.4;137.7;192.1;0;0;;;;291.7;89.4;137.7;0;130.7;61.5
2438N1404897L;636.3;245.4;152.1;;;;;;;481;245.4;152.1;0;181.9;56.9
2238N1146750Q;532;353;116;;;;;;;532;353;116;0;40;8
2338N1032586T;197.8;96.9;100.9;58.1;2.5;1.9;;;;255.8;99.5;102.8;0;40.4;13.2
2238N0149696K;721.9;540.6;181.3;391.7;73.7;0;;;;899.7;614.3;181.3;0;184.6;133.3
2338N2429509O;429.1;264.7;164.4;190;4.9;2.8;;;;509.2;269.6;167.1;0;172.8;9.6
2238N0446442S;648.5;406.9;241.6;259.2;58.6;5.9;;;;769.5;465.5;247.5;0;194.7;0
2238N1217378C;205.9;32.4;173.5;358.1;96.6;1;;;;564;129;174.5;89.7;93;77.8
2238N1526453P;249.4;87.3;162.1;131.2;0;0;;;;303.3;87.3;162.1;0;82;49.2
2238N1028649H;363.5;189.1;174.4;251.9;0;0;;;;448.7;189.1;174.4;0;167.9;84
2338N3202368X;340;175.2;164.8;237.5;44;0;;;;448.3;219.2;164.8;0;158.3;35.2
2138N0346857M;346.9;129.3;217.6;133.6;0;4.8;;;;408.4;129.3;222.4;0;96.6;32.2
2238N0403359R;131.4;0;131.4;329.9;222.2;1.4;;;;434.8;222.2;132.8;19;87.3;0
2338N2446250L;625;406;219;129;24;3;;;;754;430;222;0;54;30
2138N0445413C;559;322;156;;;;;;;559;322;156;0;52;3
2238N2628518S;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2238N1401279F;380.9;212;168.9;150.6;3.8;5.1;;;;444.7;215.8;174.1;0;141.7;0
2338N3869291U;553.1;207.3;345.8;135.9;9;0;;;;600.8;216.3;345.8;0;86.5;40.4
2338N1680745Y;;;;;;;;;;;;;;;
Bâtiment C;;;;;;;;;;;;;;;
"65 avenue de Claix""";;;;;;;;;;;;;;;
2238N1452643T;180;50.5;129.5;103.8;0;0;;;;297;50.5;129.6;0;98;5.8
2138N0363066X;237;237;0;640;408;154;;;;877;645;154;0;55;0
2138N0484224V;296.9;212.6;84.3;114.6;0;0;;;;376.4;212.6;84.3;0;109.1;5.5
2338N1087806P;624;430;106;;;;;;;624;430;106;0;50;19
2238N0965252Y;348.9;93.1;123.4;;;;;;;344.1;93.1;123.4;0;123.6;8.8
2238N1452721T;180.6;50.7;129.9;104.4;0;0;;;;298.3;50.7;129.9;0;98.6;5.8
2338N3676205K;320.7;170;150.7;101.6;0;0;;;;358.3;170;150.7;0;96;5.6
2238N0174584Q;571.3;246.7;264.3;571.3;246.7;264.3;;;;571.3;246.7;264.3;0;37.7;22.6
2238N0228656I;769.5;475.9;190;769.5;475.9;190;;;;769.5;475.9;190;0;58.7;44.9
2338N2356040V;541;366;105;132;132;0;;;;673;498;105;0;47;0
2338N0509935U;548;307;144;;;;;;;548;307;144;0;57;13
2238N3053826S;;;;;;;;;;;;;;;
"ZAC St Hubert""";;;;;;;;;;;;;;;
2438N0033103D;209.3;70.9;138.4;151.8;5.3;0;;;;253;76.3;138.4;0;84.5;62
2238N3118770O;212.2;211.2;0.9;298.1;13.4;284.7;123.5;4.1;0;567;228.7;285.6;0;103.9;15.6
2238N2649037X;485;170.3;260.1;485;170.3;260.1;;;;485;170.3;260.1;0;40.9;13.6
2338N4374022N;421;230;127;;;;;;;421;230;127;0;33;11
2438N0803017F;357.6;357.6;0;370.2;0;177.2;;;;618.8;357.6;177.2;0;182.3;10.7
2238N0526187V;335.9;161;174.9;134.6;0;0;;;;384.2;161;174.9;0;134.6;0
2338N2564514B;316.6;131.3;185.3;126.2;0;0;;;;360.9;131.3;185.3;0;119.5;6.6
2338N3901902B;541.7;229.7;312.1;189.4;0;0;;;;609.6;229.7;312.1;0;167.1;22.3
2338N3714811G;476.1;305.5;170.6;143.4;0;0;;;;531.5;305.5;170.6;0;133.8;9.6
2138N0230883Y;363.2;138.6;224.5;79.1;0;0;;;;458.1;138.6;224.6;0;63.3;15.8
2238N2472628Y;440.9;131.1;254.2;440.9;131.1;254.2;;;;440.9;131.1;254.2;0;41.2;14.5
2238N3118688K;146.2;145.5;0.6;205.3;9.2;196.1;85.1;2.8;0;390.6;157.6;196.7;0;71.6;10.7
2238N0733440C;149.4;149.4;0;318.5;88.2;0;;;;317.7;237.6;0;0;165.8;64.5
2138N0484264J;482.5;392;90.6;142.2;0;0;;;;581.2;392;90.6;0;135.5;6.8
2138N0773411K;431;234.9;196.2;224.5;0;0;;;;511.7;234.9;196.2;0;160.4;64.1
2238N0578998A;539;343;196;145;68;6;;;;684;411;202;0;49;3
2338N0267829A;546;348;112;;;;;;;546;348;112;0;47;5
2238N1462494Q;219.2;56.8;162.3;131.6;0;0;;;;273.2;56.8;162.3;0;82.2;49.3
2238N0754532I;108.2;108.2;0;213.3;63.9;0;;;;224.1;172.1;0;0;107.6;41.8
2238N2291267N;426.8;233.3;193.5;282.5;59.7;0;;;;561.1;293;193.5;0;148.5;74.3
2438N0584030Q;496;220;119;;;;;;;496;220;119;0;56;7
2438N0294208Q;626.4;289;160.9;;;;;;;626.4;289;160.9;0;54.1;122.4
2338N0977881S;504.1;156;348.1;277.5;0;2.6;;;;598.8;156;350.8;0;169.1;105.7
2338N2465854L;199;0;199;228.8;142.5;0.7;;;;408.4;142.5;199.7;0;80;5.7
2238N1070644M;140.3;69.5;70.9;58.1;0;0;;;;163.9;69.5;70.8;0;43.6;14.5
2438N1404912A;539;201.9;140.7;;;;;;;411.2;201.9;140.7;0;149.7;46.8
2238N1462618K;315.7;121.2;194.5;205.7;0;0;;;;400.3;121.3;194.5;0;128.6;77.1
2238N0580510E;1133.2;538.9;467.3;;;;;;;1053.9;538.9;467.4;0;119.5;7.5
2238N0001592C;495.2;192.6;245.9;495.2;192.6;245.9;;;;495.2;192.6;245.9;0;41.2;15.5
2138N0512313E;1093;723;171;;;;;;;1093;723;171;97;65;9
2338N1915211W;186.1;186.1;0;262.9;0;162.9;;;;391.5;186.1;162.9;0;100;0
2238N0954527L;532;344;139;;;;;;;532;344;139;0;39;0
2338N2465611C;203.9;0;203.9;240.4;149.5;0.7;;;;423.8;149.5;204.6;0;84.2;6
2238N0987319R;356.5;162.3;152.2;356.5;162.3;152.2;;;;356.5;162.3;152.2;0;29.1;12.9
2438N0790817Z;370.6;190.7;179.9;292.7;14.3;0;;;;457.9;205.1;179.9;0;160.6;117.8
2138N0983021I;278.1;97.5;180.6;248.6;8.6;0;;;;365.9;106;180.6;0;149;91.1
2238N3020899H;;;;;;;;;;;;;;;
ILOT SUD;;;;;;;;;;;;;;;
LE GRAND PRE;;;;;;;;;;;;;;;
"ALLEE CHANTOURNES""";;;;;;;;;;;;;;;
2238N3118534M;182.2;181.4;0.8;214.8;11.6;203.2;98.1;3.9;0;441.9;196.9;204.1;0;80.8;13.5
2138N0907145A;679.6;478;143.3;;;;;;;654.5;478;143.3;0;32.6;0.6
2338N1032600H;160.3;43.7;116.6;35.6;1.2;2.2;;;;195.9;44.9;118.8;0;24.3;7.9
2238N0519740W;234.8;82;58.8;;;;;;;169.8;82;58.8;0;70.5;23.5
2238N2293928W;428.3;223.3;107.6;;;;;;;428.3;223.3;107.6;0;38.6;58.9
2238N1618848G;161.9;96.8;65.1;253.4;4.1;2.1;;;;245.8;100.9;67.2;0;123.6;123.6
2138N0773439M;412.8;217.2;195.7;223.3;0;0;;;;490;217.1;195.7;0;159.5;63.8
2238N2358062O;101.2;37.7;63.5;86.4;0;0;;;;171.9;37.7;63.5;0;81.6;4.8
2238N0060426Y;718;453.9;148.5;718;453.9;148.5;;;;718;453.9;148.5;0;71.3;44.3
2338N3871547O;161.2;90.5;70.8;178.9;71.1;0.9;;;;290.1;161.6;71.6;0;89.1;17.8
2338N1707397A;587.3;343.2;156.4;;;;;;;587.3;343.2;156.4;0;57.2;30.5
2238N0962765H;553;392;103;;;;;;;553;392;103;0;44;2
2238N1182499P;187.6;70.2;117.4;106;0;0;;;;228.6;70.2;117.4;0;100.1;5.9
2238N0757101D;263.5;131.1;132.4;279.6;77.4;0;;;;411.3;208.5;132.4;0;145.6;56.6
2238N0663185Z;475;305;110;;;;;;;475;305;110;0;41;5
2138N0346818Z;294.7;76.9;217.9;133.9;0;4.8;;;;356.3;76.9;222.6;0;96.8;32.3
2338N2270193A;512;324.9;138.7;;;;;;;512;324.9;138.7;0;33.9;14.5
2438N2728999L;634;335;181;;;;;;;634;335;181;16;59;43
2438N0350828I;411;179.5;231.5;321.9;0;0;;;;509.1;179.5;231.5;0;128.8;193.2
2438N0211110O;195.6;51.9;143.7;188.1;0;0;;;;340;51.9;143.7;0;152.2;35.8
2238N0737952Q;192.2;95.6;96.6;204;56.5;0;;;;300;152.1;96.6;0;106.2;41.3
2338N4564622H;457.7;294.6;163.1;149.4;0;0;;;;510.7;294.6;163.1;0;141.1;8.3
2238N1070748M;129;63.4;65.5;54.1;0;0;;;;149.4;63.4;65.5;0;40.6;13.5
2438N1044842E;612.1;336.8;192;612.1;336.8;192;;;;612.1;336.8;192;0;39.3;43.9
2238N1452770Q;176.8;46;130.8;101.3;0;0;;;;289.5;46;130.8;0;95.7;5.6
2438N0144953B;540.4;199.1;262;;;;;;;540.4;199.1;262;0;39.6;39.6
2238N1733334O;745.5;417.1;114;;;;;;;588.2;417.1;114;0;190.5;23.8
2138N0559113E;614;322;208;;;;;;;614;322;208;0;58;26
2238N1314601L;622.3;296.6;325.7;185.1;0;0;;;;688.6;296.6;325.7;0;163.3;21.8
2238N1217289R;534.8;180.4;0.7;224.3;74.2;150.1;;;;759.1;254.6;150.8;121.8;126.2;105.7
2438N2154406S;227.5;73.6;153.9;140.1;0;0;;;;275.2;73.6;153.9;0;97.4;42.6
2238N1122597R;518.1;311.6;107.9;;;;;;;518.1;311.6;107.9;0;61.3;37.3
2338N1898015M;445.9;263.8;133.6;;;;;;;445.9;263.8;133.6;0;32.4;16.2
2438N1028981D;433.8;264.7;169.1;163.9;5;0;;;;496.4;269.7;169.1;0;135.1;23.8
2338N3115920Z;355.6;217;138.6;275.3;0;0;;;;445.1;217;138.6;0;165.2;110.1
2238N1635049J;433.8;228.8;205.1;143.6;0;0;;;;504;228.8;205.1;0;143.6;0
2338N1744830T;654;478;122;;;;;;;654;478;122;0;37;0
2238N2315955B;624;454;170;144;60;3;;;;768;514;173;0;56;7
2438N2262933V;591.6;316.8;207.4;591.6;316.8;207.4;;;;591.6;316.8;207.4;0;54.5;12.8
2322N3033269M;331;147;126;;;;;;;331;147;126;0;37;2
2438N1223931F;400.6;201.8;198.8;131;0;0;;;;447.3;201.9;198.8;0;95.3;35.7
2138N0451972J;;;;;;;;;;;;;;;
"AVENUE DU RIF NEL AMONT""";;;;;;;;;;;;;;;
2238N2283809R;;;;;;;;;;;;;;;
"Le Bourg""";;;;;;;1257323.8;;;;;;;;
2238N2265137N;99.2;2.9;96.3;132.3;44.6;0;;;;182.9;47.5;96.3;0;66.7;21.1
2238N2898543H;553.3;264;232.7;553.3;264;232.7;;;;553.3;264;232.7;0;41.9;14.8
2338N4066273A;465.9;216.1;249.8;59.7;12.6;1.1;;;;525.6;228.7;250.8;0;30.7;15.3
2338N0728514R;442;273.1;168.9;164.1;0;0;;;;505.4;273.1;168.9;0;154.9;9.1
2338N3257224T;678;465;213;115;8;4;;;;793;473;217;0;55;24
2238N1057644M;469;293;118;;;;;;;469;293;118;0;40;2
2438N2198654O;336.9;163.2;173.8;182.6;0;0;;;;401.1;163.2;173.8;0;153.8;28.8
2238N0863803B;;;;;;;;;;;;;;;
"Rue Marguerite Rozand""";;;;;;;1209309.7;;;;;;;;
2238N0580712Y;306.8;170.4;136.4;90.7;0;0;;;;339.3;170.4;136.4;0;85.4;5.3
2138N0582942R;423.9;238.5;185.5;140.2;7;0;;;;507.1;245.4;185.5;0;133.2;0
2338N3292558T;330.2;108.7;104.7;;;;;;;251.6;108.7;104.7;0;96.2;20.6
2438N1446933F;405.8;270.4;135.3;229.6;27.2;0;;;;509;297.7;135.3;0;190.4;11.9
2238N2298442M;445.6;263.2;182.4;106.3;0;0;;;;483.3;263.2;182.4;0;94.5;11.8
2138N0482820V;322.9;244.9;78;97.3;0;0;;;;390.4;244.9;78;0;92.7;4.6
2438N2247922M;508;316;134;;;;;;;508;316;134;0;40;2
2438N1073685N;528.7;278;180;;;;;;;528.7;278;180;0;54.7;16
2438N1684389D;604.4;304.3;135;;;;;;;492.5;304.3;135;0;165.1;0
2238N0542124U;517;363;97;;;;;;;517;363;97;0;33;4
2138N0756003W;480.9;193.7;222.7;480.9;193.7;222.7;;;;480.9;193.7;222.7;0;35.8;28.6
2238N3118817J;175.5;174.6;0.9;205.2;10.6;194.6;98.3;3.1;0;426.7;188.3;195.5;0;79.4;15.9
2138N0894162R;;;;;;;;;;;;;;;
"Avenue de la Muzelle""";;;;;;;;;;;;;;;
2238N0968194C;268.7;57.9;78.4;;;;;;;233.4;57.9;78.4;0;123.6;8.8
2338N3988111U;266.2;96.7;169.5;100.6;17.1;0;;;;326;113.8;169.5;0;83.5;0
2338N2135162N;508.8;252.7;185.8;508.8;252.7;185.8;;;;508.8;252.7;185.8;0;47.7;22.6
2338N0790932J;226.2;0;226.2;319.9;211;0;;;;475.8;211;226.2;0;84.7;24.2
2138N0368756T;684.2;438.8;168.8;;;;;;;684.2;438.8;168.8;0;52.2;24.5
2238N3112268M;226;225.2;0.8;118.9;3.9;0;;;;279;229.1;0.8;0;94.7;20.3
2473N1236960R;;;;;;;;;;;;;;;
"38000 Grenoble""";;;;;;;;;;;;;;;
2338N2415229I;226.4;95.4;131;177.2;0;0;;;;289.2;95.4;131;0;157.5;19.7
2238N1182563B;183.1;69.3;113.8;99.7;0;0;;;;221.7;69.3;113.8;0;94.1;5.5
2238N2730615N;524;343;102;;;;;;;524;343;102;0;44;16
2238N0198326U;122.4;0;122.4;230.5;151;0;;;;313.7;151;122.4;0;79.4;0
2438N1245776K;457;263;142;;;;;;;457;263;142;0;36;0
2473N1236966X;;;;;;;;;;;;;;;
"38000 Grenoble""";;;;;;;;;;;;;;;
2338N2465565I;203.9;0;203.9;268.1;177.3;0.7;;;;451.6;177.3;204.6;0;84.2;6
2138N0116305C;749;522;227;124;4;0;;;;873;526;227;0;68;32
2338N3676186R;382.8;232.2;150.5;101.4;0;0;;;;420.4;232.2;150.6;0;95.8;5.6
2238N3118703Z;104.2;103.8;0.5;146.4;6.6;139.9;60.7;2;0;278.6;112.4;140.3;0;51;7.7
2338N3901938L;499;238.5;260.5;188.1;0;0;;;;566.4;238.5;260.5;0;165.9;22.1
2338N1706629M;277.2;80.4;196.9;33.5;6;0.8;;;;310.7;86.4;197.7;0;16.8;9.8
2238N1009177J;6537;3761;2776;1123;181;73;;;;7660;3942;2849;0;579;0
2138N1013109O;686.1;386.3;236.4;686.1;386.3;236.4;;;;686.1;386.3;236.4;0;40.6;22.8
2238N2283686Y;;;;;;;;;;;;;;;
"Le Bourg""";;;;;;;1356728.3;;;;;;;;
2238N0757641X;;;;;;;;;;;;;;;
"RUE DES ECOLES""";;;;;;;1274814.1;;;;;;;;
2238N2208212C;404;404;0;357;141;156;;;;761;545;156;0;44;0
2238N1599572W;;;;;;;;;;;;;;;
"Opération Coeur de Village""";;;;;;;1016853.3;;;;;;;;
2238N2855360K;293.5;145.4;148.1;205.4;0;0;;;;365.7;145.4;148.1;0;173;32.4
2238N0760140A;;;;;;;;;;;;;;;
"RUE DES ECOLES""";;;;;;;;;;;;;;;
2238N2435807T;487;316;95;16;16;0;;;;503;332;95;0;44;8
2338N0790876F;229.3;0;229.3;281.3;169.8;0;;;;438.6;169.8;229.3;0;86.8;24.8
2338N3466372X;361.1;207.6;153.6;108.9;0;0;;;;399;207.6;153.6;0;98;10.9
2238N2291260G;297.1;108.8;188.2;233.9;27.9;0;;;;394;136.7;188.2;0;137.4;68.7
2438N1134979Z;;;;;;;;;;;;;;;
Bâtiment B;;;;;;;;;;;;;;;
"71 avenue de Claix""";;;;;;;1376717.3;;;;;;;;
2238N2922726K;453;282;105;;;;;;;453;282;105;0;45;3
2238N3118613N;165.7;164.8;0.9;210;10;200;98;2.8;0;419.2;177.6;200.9;0;85.2;10
2238N1313735D;564;266.6;297.5;190.2;0;0;;;;631.5;266.6;297.5;0;169.1;21.1
2238N3036942I;831;589;128;;;;;;;831;589;128;0;76;14
2238N2855337N;267.9;133.6;134.3;154.3;0;0;;;;326.8;133.6;134.3;0;129.9;24.4
2238N1694584E;114.4;47.8;66.6;110.8;0;0;;;;149.4;47.8;66.6;0;89.7;21.1
2338N0977907S;384.6;100.3;284.3;161.4;0;2.2;;;;440.1;100.3;286.5;0;98;61.2
2338N4368990Z;174.3;0;174.3;119;3.3;0;;;;219.6;3.3;174.3;0;115.7;0
2238N1424857B;585.2;342.6;171.3;;;;;;;585.2;342.6;171.3;0;45.7;25.7
2238N0897971F;563.9;374.3;138.5;;;;;;;563.9;374.3;138.5;0;38.9;12.2
2238N3118795N;222.9;221.7;1.2;260.5;13.5;247.1;124.8;3.9;0;541.9;239.1;248.3;0;100.8;20.2
2238N2898536A;396.3;167.1;193.3;396.3;167.1;193.3;;;;396.3;167.1;193.3;0;26.5;9.4
2238N3112233D;226;225.2;0.8;118.9;3.9;0;;;;279;229.1;0.8;0;94.7;20.3
2238N1372650C;332;177.4;154.6;97.4;0;0;;;;368.1;177.4;154.6;0;97.4;0
2438N0694690U;373;211;105;;;;;;;373;211;105;0;38;2
2138N0197281O;;;;;;;;;;;;;;;
"Les Contamines - Quartier de Môles - BATIMENT B""";;;;;;;;;;;;;;;
2238N0580688A;459.9;301.3;158.6;129.9;0;0;;;;506.5;301.3;158.6;0;122.3;7.6
2338N2465533C;202.7;0;202.7;184.5;94.7;0.7;;;;367;94.7;203.4;0;83.1;5.9
2138N0861239K;;;;;;;;;;;;;;;
"RD 24""";;;;;;;;;;;;;;;
2338N0148638T;736.5;547;189.5;212.4;0;0;;;;811.8;547;189.6;0;212.4;0
2338N1191272B;633.1;260.4;221.1;633.1;260.4;221.1;;;;633.1;260.4;221.1;0;60.4;91.2
2138N0510979W;784.6;442.2;280.9;784.6;442.2;280.9;;;;784.6;442.2;280.9;0;39.5;21.9
2238N0563783V;513;345;113;;;;;;;513;345;113;0;36;2
2238N2777015D;280.4;176.7;103.6;132.8;17.1;0;;;;338.1;193.8;103.6;0;97.5;18.3
2138N0220334F;517.2;241.2;200.5;;;;;;;517.2;241.2;200.5;0;52.3;23.2
2238N2628465R;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2238N1530018S;292.4;134.3;158.1;118.9;4.2;4.1;;;;342.9;138.5;162.2;0;110.5;0
2238N3166629H;641;458;122;;;;;;;641;458;122;0;44;0
2238N0901069J;192.3;94.6;97.7;80.6;0;0;;;;222.7;94.6;97.7;0;60.5;20.2
2238N1217313P;207.1;34.4;172.7;360;102;1;;;;567.1;136.4;173.7;88.5;91.7;76.8
2238N2552510I;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2238N1452646W;181;50.8;130.2;104.8;0;0;;;;299.3;50.8;130.2;0;99;5.8
2138N1042711C;360;206;153.9;90.3;0;0;;;;392;206;153.9;0;80.3;10
2238N0978344M;64.6;0;64.6;163.5;58;0;;;;188.9;58;64.6;8.4;87.4;9.7
2438N0845280S;418.6;278.7;139.9;186;0;0;;;;482.3;278.7;139.9;0;135.3;50.7
2338N0728493W;460.2;291.8;168.4;163;0;0;;;;523.3;291.8;168.4;0;153.9;9.1
2238N0389830I;722;469;179;;;;;;;722;469;179;0;54;20
2238N2898522M;396.7;167.3;193.5;396.7;167.3;193.5;;;;396.7;167.3;193.5;0;26.5;9.4
2238N3100528Y;485.3;322.7;0;203.8;29;174.7;;;;689;351.7;174.7;0;54.9;107.6
2138N0566497E;474.2;239.2;173.4;474.2;239.2;173.4;;;;474.2;239.2;173.4;0;41.9;19.7
2138N0701925Y;352.1;190.2;161.9;94;0;0;;;;387.4;190.2;161.9;0;94;0
2338N0924550N;;;;;;;;;;;;;;;
" Rue De L'eglise""";;;;;;;;;;;;;;;
2138N0858599W;563;154.3;314.5;;;;;;;507.5;154.3;314.5;0;88.7;5.5
2238N1454486Q;217.2;0;0;;;;;;;113.4;0;0;0;217.2;0
2438N1433455V;223.9;126.2;30.5;;;;;;;176.2;126.2;30.5;0;67.3;0
2338N0430025I;413;246;99;;;;;;;413;246;99;0;44;8
2338N4082413U;325.8;53.4;93.5;;;;;;;194.2;53.4;93.4;0;95.8;83.1
2238N3118741L;142.2;141.6;0.6;199.7;9;190.8;82.8;2.7;0;380;153.3;191.4;0;69.6;10.4
2238N0580646K;875.7;222.8;556.9;;;;;;;816.3;222.8;556.9;0;90;6
2138N0943515W;462.4;274.8;122.2;462.4;274.8;122.2;;;;462.4;274.8;122.2;0;48;17.5
2238N0344614G;546.4;291.9;170;;;;;;;506.5;291.9;170;0;43.8;0.7
2438N1380773P;501;298;92;;;;;;;501;298;92;42;47;3
2238N3118797P;184.4;183.4;1;215.5;11.1;204.4;103.3;3.2;0;448.3;197.8;205.4;0;83.4;16.7
2338N0924567E;;;;;;;;;;;;;;;
" Rue De L'eglise""";;;;;;;;;;;;;;;
2338N4082220J;283.4;46.5;81.3;;;;;;;168.9;46.5;81.3;0;83.4;72.3
2238N1932632W;544.3;368.4;175.9;154.3;6.4;2.5;;;;605.3;374.8;178.4;0;145.4;0
