numero_dpe;cout_total_5_usages_energie_n1;cout_chauffage_energie_n1;cout_ecs_energie_n1;cout_total_5_usages_energie_n2;cout_chauffage_energie_n2;cout_ecs_energie_n2;cout_total_5_usages energie_n3;cout_chauffage_energie_n3;cout_ecs_energie_n3;cout_total_5_usages;cout_chauffage;cout_ecs;cout_refroidissement;cout_eclairage;cout_auxiliaires
2238N0131432Y;414.6;222.4;192.3;205.8;0;0;;;;484.8;222.4;192.3;0;174.9;30.9
2238N0757617Z;;;;;;;;;;;;;;;
"RUE DES ECOLES""";;;;;;;1153934.9;;;;;;;;
2238N1114113J;521.6;335.5;186.1;96;7.7;3.1;;;;617.6;343.2;189.2;0;41.2;43.9
2138N0314755U;795.1;316.9;397;795.1;316.9;397;;;;795.1;316.9;397;0;48.7;32.5
2138N0532003M;449.3;242;207.3;122.3;6.1;5.4;;;;510.6;248;212.7;0;110.9;0
2438N2262953P;408.3;169.7;186.9;408.3;169.7;186.9;;;;408.3;169.7;186.9;0;41.9;9.9
2338N4149720N;471;278;121;;;;;;;471;278;121;0;52;0
2238N0438863F;337.9;187.1;150.8;206;0;0;;;;410.9;187.1;150.8;0;183.1;22.9
2138N0559065I;577;298;206;;;;;;;577;298;206;0;54;19
2238N2164905L;591.7;355.7;236.1;264.2;0;0;;;;696;355.7;236.1;0;179.7;84.5
2338N4094981E;278.2;86.5;191.7;33.6;6.3;0.8;;;;311.8;92.8;192.5;0;17;9.5
2338N4067710H;;;;;;;;;;;;;;;
"Chemin de la pierre du loup""";;;;;;;;;;;;;;;
2138N0660156L;419.4;191.8;227.6;345.7;17.3;0;;;;566;209.1;227.6;0;211.1;117.3
2438N1433454U;223.8;126;30.5;;;;;;;176;126;30.5;0;67.3;0
2138N0143166F;1325.5;821.9;331.3;1325.5;821.9;331.3;;;;1325.5;821.9;331.3;0;125.3;47
2138N0934587M;427;258;93;;;;;;;427;258;93;0;45;11
2238N0533682C;520.3;348.7;171.5;145.1;0;0;;;;580.8;348.7;171.5;0;136.1;9.1
2238N2730847L;181.3;46.9;134.4;82.4;0;0;;;;210.2;46.9;134.4;0;44.6;37.8
2238N1212397N;228.3;49.7;178.6;397.2;138.3;1;;;;625.5;188;179.6;88.8;92;77.1
2238N0978510W;109.6;0;109.6;277.3;98.3;0;;;;320.3;98.3;109.6;14.3;148.2;16.5
2238N0149694I;543.2;373.3;169.9;320.7;50.9;0;;;;682.4;424.2;169.9;0;156.6;113.1
2238N0403429J;145.4;0;145.4;464.9;333.4;1.5;;;;577.8;333.4;146.9;23.2;106.8;0
2238N3066819L;520;288;157;;;;;;;520;288;157;0;52;0
2238N0944946Y;493;305.5;187.5;130.4;0;0;;;;540.9;305.5;187.5;0;130.4;0
2138N0040734N;337;337;0;669;317;255;;;;1006;654;255;0;70;0
2138N0755958D;561.6;227.2;249;561.6;227.2;249;;;;561.6;227.2;249;0;47.4;37.9
2138N0093080V;571;333;130;;;;;;;571;333;130;0;59;30
2238N0754376I;6552;3260;3292;3675;1925;0;;;;10227;5185;3292;0;1050;408
2238N2852626G;455.2;259.4;195.8;188.8;0;0;;;;522.8;259.4;195.8;0;188.8;0
2438N0821083B;306.7;144.8;161.9;174.6;30.6;0;;;;387.9;175.4;161.9;0;128.8;15.2
2338N2192461I;320.6;156.3;164.2;87.3;0;0;;;;369.5;156.3;164.2;0;87.3;0
2238N2664621H;220.9;74.9;146;122.9;2.2;4.4;;;;268.7;77;150.4;0;103.4;12.9
2238N2485545T;432.5;216;169.6;432.5;216;169.6;;;;432.5;216;169.6;0;36.2;10.7
2138N1042952J;438.3;241.6;196.7;132.8;0;0;;;;485.4;241.6;196.7;0;118;14.8
2438N1936902E;587.4;339;220.2;587.4;339;220.2;;;;587.4;339;220.2;0;21.5;6.7
2238N1087873D;;;;;;;;;;;;;;;
ZAC DES 7 LAUX;;;;;;;;;;;;;;;
"SITE DE PRAPOUTEL""";;;;;;;1152790.1;;;;;;;;
2338N1906228J;498.6;306.2;192.4;150;0;0;;;;547.3;306.2;192.4;0;141.2;8.8
2438N2098346O;359.7;175.7;147.2;359.7;175.7;147.2;;;;359.7;175.7;147.2;0;21.3;15.6
2338N1680756J;;;;;;;;;;;;;;;
Bâtiment C;;;;;;;;;;;;;;;
"65 avenue de Claix""";;;;;;;;;;;;;;;
2338N4171599A;;;;;;;;;;;;;;;
"140 Route de Lyon""";;;;;;;1098613.1;;;;;;;;
2238N0403302M;134;0;134;260.4;148.3;1.4;;;;366.8;148.4;135.4;19.8;90.9;0
2338N3646307M;707.8;445.2;262.7;326.2;10.3;6.7;;;;836.9;455.4;269.4;0;262.9;46.4
2338N4105250D;516;342.8;173.2;257.9;32.8;0;;;;628.3;375.7;173.2;0;166.3;58.7
2238N1426551F;560.8;341.6;219.2;238.9;0;0;;;;653.2;341.6;219.2;0;238.9;0
2238N2830873P;697.7;388;173.6;;;;;;;697.7;388;173.6;0;85.1;51
2338N2083665W;424;237;102;;;;;;;424;237;102;0;55;11
2338N2192402B;311.6;147.3;164.2;87.3;0;0;;;;360.5;147.3;164.2;0;87.3;0
2238N1126317T;457.1;272.4;184.7;88.9;6.3;3.1;;;;546;278.7;187.8;0;38.5;41
2238N1178256K;483;307;122;;;;;;;483;307;122;0;37;0
2238N3118805X;222.8;221.6;1.2;260.4;13.5;247;124.8;3.9;0;541.7;239;248.2;0;100.7;20.1
2338N0336397G;557.5;203.1;161;;;;;;;421.2;203.1;160.9;0;173;20.4
2138N0622609I;254.8;73.1;181.6;123.3;0;0;;;;308.2;73.1;181.6;0;99.8;23.5
2238N0333033V;445.8;247.8;198;198.8;0;0;;;;517.1;247.8;198;0;189.3;9.5
2238N1619264G;229.6;145.5;84.2;285.1;3.2;2.8;;;;326;148.7;87;0;182.5;96.6
2338N3202324F;336.6;171.9;164.8;236.7;43.2;0;;;;444.1;215;164.8;0;158.3;35.2
2238N2810020O;345.9;108.7;237.3;162.1;0;0;;;;401.9;108.7;237.3;0;132.6;29.5
2138N0923687G;494.3;290.4;204;147.5;0;0;;;;551.4;290.4;203.9;0;147.5;0
2138N0066738R;295;295;0;406;114;213;;;;701;409;213;0;57;0
2338N2559870L;292;120.2;171.8;106.3;0;0;;;;329.3;120.2;171.8;0;100.7;5.6
2138N0923626X;381.7;185;196.7;132.6;0;0;;;;432.9;185;196.7;0;132.6;0
2338N1681348D;;;;;;;;;;;;;;;
Bâtiment D;;;;;;;;;;;;;;;
" 67 avenue de Claix""";;;;;;;;;;;;;;;
2438N0287508Y;612.5;393.6;218.9;212.7;0;0;;;;677.7;393.6;218.9;0;199.4;13.3
2238N1554316G;585;383;153;;;;;;;585;383;153;0;38;0
2238N0439062W;280.4;143.7;136.7;159.8;0;0;;;;337.1;143.7;136.8;0;142;17.8
2238N1070453D;137.2;67.9;69.3;56.8;0;0;;;;160.2;67.9;69.3;0;42.6;14.2
2238N0758363R;2778.9;1530.9;847.9;2778.9;1530.9;847.9;;;;2778.9;1530.9;847.9;0;246.2;153.9
2438N0323469B;358;175;124;;;;;;;358;175;124;0;35;4
2138N0756036D;338.6;107.1;189.1;338.6;107.1;189.1;;;;338.6;107.1;189.1;0;23.5;18.8
2338N4368975K;173.7;0;173.7;119.2;4.7;0;;;;219.9;4.7;173.7;0;114.5;0
2238N1599578C;;;;;;;;;;;;;;;
"Opération Coeur de Village""";;;;;;;1017215;;;;;;;;
2338N2605981Y;953.9;622.7;331.2;278.9;87.8;0;;;;1108.2;710.5;331.3;0;143.3;47.8
2438N1112161J;454.7;255.6;199.1;227.7;0;0;;;;534.5;255.6;199.1;0;161.3;66.4
2438N0282246O;312.9;133;147.4;312.9;133;147.4;;;;312.9;133;147.4;0;26.6;5.9
2338N2564923U;162.5;80.1;82.4;101.2;0;0;;;;198.4;80.1;82.4;0;90;11.2
2338N2372449Y;360.7;189.9;170.9;164.4;29.5;0;;;;438.6;219.4;170.9;0;127;7.9
2338N2102942H;456;238;150;;;;;;;456;238;150;0;40;10
2338N2560504V;161;79.3;81.6;100.2;0;0;;;;196.5;79.3;81.6;0;89.1;11.1
2238N0996124I;273.7;92.1;181.6;123.3;0;0;;;;316.3;92.1;181.6;0;99.8;23.5
2438N1507671H;452.1;282;170;191.6;28.6;0;;;;551.6;310.6;170;0;154;9.1
2338N4117925Q;527;347;99;;;;;;;527;347;99;0;48;15
2438N1696689F;573;322;179;;;;;;;573;322;179;15;32;25
2438N1022363P;634;399;170;;;;;;;634;399;170;0;41;12
2238N0968200I;252.6;32.5;80;;;;;;;215.2;32.5;80;0;130.7;9.3
2438N1277396O;399.4;224.7;174.6;169.1;0;0;;;;460.1;224.7;174.6;0;161;8.1
2238N0543102K;293;137.4;155.6;101.6;0;0;;;;330.7;137.4;155.6;0;101.6;0
2338N1844181Y;455.4;253.7;201.7;62.6;5.2;3.9;;;;518;258.8;205.6;0;40.4;13.2
2338N0884822N;382.4;213.3;169.2;170.1;0;0;;;;441.6;213.3;169.2;0;153.1;17
2238N0131428U;381.4;198.2;183.3;181.8;0;0;;;;443.4;198.2;183.3;0;154.5;27.3
2238N0333042E;494.6;308.4;186.3;170;0;0;;;;555.7;308.4;186.3;0;161.9;8.1
2438N2152764O;221.8;90.8;130.9;105;0;0;;;;257.5;90.8;130.9;0;73;32
2138N0692235G;414.8;223.4;191.4;193.4;0;0;;;;484.2;223.4;191.4;0;156.5;36.8
2338N3257262F;664;475;189;107;5;3;;;;771;480;192;0;51;24
2338N0922185O;345.9;178.7;167.2;185.8;0;0;;;;411.6;178.7;167.2;0;121.2;64.6
2238N1070648Q;136.7;67.7;69;56.6;0;0;;;;159.6;67.7;69;0;42.4;14.1
2238N0446440Q;371;186.8;184.2;128.5;26.9;4.5;;;;430.5;213.6;188.7;0;97.1;0
2238N1018419V;480.1;255.3;224.7;212.4;0;0;;;;554;255.3;224.7;0;169.9;42.5
2238N2641789D;;;;;;;;;;;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;;;;;;;;;;;
"Girot""";;;;;;;;;;;;;;;
2338N0790945W;228.2;0;228.2;325.2;214.4;0;;;;481.9;214.4;228.2;0;86.2;24.6
2338N0550859U;;;;;;;;;;;;;;;
Bâtiment B - Appartement N° B4;;;;;;;;;;;;;;;
"Rue de la Peyrouse""";;;;;;;;;;;;;;;
2238N1268684K;266.5;219.3;47.2;170.8;25.6;42.7;;;;437.2;244.9;89.9;0;68.3;34.2
2138N0451961Y;;;;;;;;;;;;;;;
"AVENUE DU RIF NEL AMONT""";;;;;;;;;;;;;;;
2338N3917534H;630.4;469.9;160.5;150;0;0;;;;684.2;469.9;160.5;0;141.2;8.8
2238N2283671J;;;;;;;;;;;;;;;
