numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
2238N1463418E;11 Allee du Docteur Pierre Berthier 38300 Bourgoin-Jallieu;11;Allee du Docteur Pierre Berthier;Bourgoin-Jallieu;38300;38053;38;84;38053_0061_00011;877742.44;6501316.03;adresse non géocodée ban car aucune correspondance trouvée;11 DU DOCTEUR PIERRE BERTHIER;BOURGOIN-JALLIEU;38300
2438N1684393H;35 impasse des Chevaliers 38780 Eyzin-Pinet;35;impasse des Chevaliers;Eyzin-Pinet;38780;38160;38;84;38160_aas3np_00035;856696.15;6487766.24;adresse non géocodée ban car aucune correspondance trouvée;35 Impasse des Chevaliers;EYZIN-PINET;38780
2438N2097173L;Rue Marguerite Rozand 38230 Pont-de-Chéruy;;Rue Marguerite Rozand;Pont-de-Chéruy;38230;38316;38;84;38316_0412;868593.14;6518983.06;adresse non géocodée ban car aucune correspondance trouvée;2 Rue Marguerite Rozand;PONT DE CHERUY, France;38230
2438N2065537R;22 Rue Francisque Cartallier 38780 Pont-Évêque;22;Rue Francisque Cartallier;Pont-Évêque;38780;38318;38;84;38318_0025_00022;849182.37;6493697.65;adresse géocodée ban à l'adresse;22 Rue Francisque Cartallier;PONT EVEQUE;38780
2438N1559313N;420 Impasse Jacques Brel 38920 Crolles;420;Impasse Jacques Brel;Crolles;38920;38140;38;84;38140_0292_00420;925757.18;6468275.68;adresse non géocodée ban car aucune correspondance trouvée;420 RUE JACQUES BREL;CROLLES;38920
2138N0944371U;Route du Col du Sabot 38114 Vaujany;;Route du Col du Sabot;Vaujany;38114;38527;38;84;38527_0090;941635.65;6455651.6;adresse non géocodée ban car aucune correspondance trouvée;Route du Col de Sabot;VAUJANY;38114
2338N3546888R;17 Rue Joseph Bouchayer 38100 Grenoble;17;Rue Joseph Bouchayer;Grenoble;38100;38185;38;84;38185_3960_00017;913036.53;6456696.19;adresse non géocodée ban car aucune correspondance trouvée;17 rue Joseph Bouchayer;GRENOBLE;38100
2138N1042978J;Avenue de la Republique 38090 Villefontaine;;Avenue de la Republique;Villefontaine;38090;38553;38;84;38553_0710;867925.78;6503673.27;adresse non géocodée ban car aucune correspondance trouvée;Avenue de la République;VILLEFONTAINE;38090
2338N0992210V;40 112 Route de Crémieu 38230 Tignieu-Jameyzieu;40;112 Route de Crémieu;Tignieu-Jameyzieu;38230;38507;38;84;38507_16h1rt_00040;870156.07;6519144.29;adresse géocodée ban à l'adresse;de Crémieu;TIGNIEU-JAMEYZIEU;38230
2138N0609203S;Rue Neuve 38200 Villette-de-Vienne;;Rue Neuve;Villette-de-Vienne;38200;38558;38;84;38558_0043;848907.51;6500563.18;adresse non géocodée ban car aucune correspondance trouvée;23 rue Feuillant;VILLETTE-DE-VIENNE;38200
2438N1966935H;Rue de la Liberté 38230 Pont-de-Chéruy;;Rue de la Liberté;Pont-de-Chéruy;38230;38316;38;84;38316_0200;868691.99;6518960.56;adresse non géocodée ban car aucune correspondance trouvée;36 rue de la Liberté;PONT DE CHERUY, France;38230
2438N0475968K;Saint-Ismier;;;Saint-Ismier;38330;38397;38;84;38397;922280.77;6465076.08;adresse non géocodée ban car aucune correspondance trouvée;289 St Ismier 2;St Ismier;38330
2238N0580734U;249 Rue de la Convention 38670 Chasse-sur-Rhône;249;Rue de la Convention;Chasse-sur-Rhône;38670;38087;38;84;38087_0198_00249;841148.74;6499080.71;adresse non géocodée ban car aucune correspondance trouvée;221, 249 rue de la Convention;CHASSE-SUR-RHONE;38670
2438N0543422U;Rue de la République 38230 Pont-de-Chéruy;;Rue de la République;Pont-de-Chéruy;38230;38316;38;84;38316_0360;869337.41;6519026.44;adresse non géocodée ban car aucune correspondance trouvée;Rue de la République;PONT-DE-CHÉRUY;38230
