numero_dpe;besoin_chauffage;besoin_ecs;besoin_refroidissement;besoin_ecs_batiment;besoin_ecs_logement
2338N1599989Y;;;;;
2238N0904158E;;;;;
2438N1482748S;;;;;
2238N1182369P;;;;;
2138N0230905U;;;;;
2138N0346844Z;;;;;
2238N0912987T;;;;;
2338N2149935S;;;;;
2238N1526501L;;;;;
2338N4439557C;;;;;
2238N3079782A;;;;;
2338N4532654T;;;;;
2138N0458852Z;;;;;
2238N2628538M;;;;;
"Rue de Nantes""";;;;;
2138N0196652J;;;;;
"Les Contamines - Quartier de Môles - BATIMENT A""";;;;;
2238N1059228K;;;;;
2438N1370057L;;;;;
2438N2247411V;;;;;
"ZAC de Pierre Louve""";;;;;
2338N3958880N;;;;;
2238N0402762S;;;;;
2238N1253795T;;;;;
2138N0772587S;;;;;
"Rue Gay""";;;;;
2138N0622615O;;;;;
2338N2465581Y;;;;;
2338N4171605G;;;;;
"140 Route de Lyon""";;;;;
2438N2097946E;;;;10566014.1;1138875.6
2138N0707836H;;;;;
2138N0646732D;;;;;
2338N1032651G;;;;;
2238N0247706A;;;;;
2338N2372480D;;;;;
2238N1479340O;;;;;
2238N1070686C;;;;;
2338N0952205E;;;;;
2338N1191259O;;;;;
2338N1191307K;;;;;
2338N0410176X;;;;;
2338N0527738N;;;;;
2238N0737998K;;;;;
2338N1963926N;;;;;
2238N0234247J;;;;;
2338N1032635Q;;;;;
2138N0625854D;;;;;
2338N3048730T;;;;;
2138N0142829G;;;;;
2238N0637958S;;;;;
2238N2730777T;;;;;
2138N0455359Q;;;;;
"AVENUE DU RIF NEL AMONT""";;;;;
2338N1938130J;2568;582;0;;
2338N2220539G;;;;;
2238N1680476O;;;;;
2438N1112054G;;;;;
2338N3466382H;;;;;
2238N0996087X;;;;;
2238N1007966U;;;;;
2338N2668350T;;;;;
2238N0449415B;;;;;
2238N0407741F;;;;;
2238N0182364W;;;;;
2338N2339224B;;;;;
2138N0531959U;;;;;
2366N0739646X;;;;;
2238N1196987V;;;;;
2138N0266136V;;;;;
250;;;;;
2238N2641865B;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;
"Girot""";;;;;
2438N0355172K;;;;;
2238N3069368M;;;;;
2238N2930209F;;;;;
2238N0446426C;;;;;
2438N2154434U;;;;;
2338N0007418F;;;;;
2338N3511481W;;;;;
2338N1674257K;;;;;
Bâtiment B;;;;;
"71 avenue de Claix""";;;;;
2338N3115957K;;;;;
2338N1832096D;;;;;
2138N0409128N;;;;;
2238N1383642W;;;;;
2238N1124732U;;;;;
2238N0754515R;;;;;
2338N3988104N;;;;;
2238N0637139F;;;;;
2238N1155511P;;;;;
2238N2152178Y;;;;;
2238N1478791L;;;;;
2238N2072062O;;;;;
2338N3714829Y;;;;;
2138N0893523C;;;;;
2238N0677048E;;;;;
2438N0854665R;;;;;
2238N3100573R;;;;;
2238N1559816U;5753;753;0;;
2338N4366196N;;;;;
2438N3951336K;;;;;
2138N0565719G;;;;;
2138N0484238J;;;;;
2338N1844227S;;;;;
2238N0500647N;;;;;
2138N1042694L;;;;;
2438N2154442C;;;;;
2338N3871453Y;;;;;
2138N0983026N;;;;;
2238N0775394S;;;;;
2138N0574966X;;;;;
2338N4066458D;;;;;
2338N2974814V;;;;;
2238N2870994S;;;;;
2238N0965246S;;;;;
2438N2098185J;;;;10566014.1;1203839.8
2238N0757631N;;;;;
"RUE DES ECOLES""";;;;;
2238N1912886K;;;;;
2238N1763909N;;;;;
2238N1456978M;;;;;
2438N1156729N;;;;;
2338N3149089S;;;;;
2238N0543124G;;;;;
2438N1219594K;;;;;
2369N2328255J;;;;;
2473N1236970B;;;;;
"38000 Grenoble""";;;;;
2238N0407726Q;;;;;
2138N1042967Y;;;;;
2338N2392088H;;;;;
"13 rue Charles Piot""";;;;;
2338N3871214T;;;;;
2138N0143215C;;;;;
2238N1932722I;;;;;
2238N2470492U;;;;;
2238N0580521P;;;;;
2438N1044824M;;;;;
2138N0383414N;;;;;
2138N0301575W;;;;;
2138N0646430N;;;;;
2338N0496240B;;;;;
2238N1644081T;;;;;
2238N1217526U;;;;;
2138N0346765Y;;;;;
2238N2852634O;;;;;
2138N0892592H;;;;;
2338N0148636R;;;;;
2238N3115026O;;;;;
2238N2855396U;;;;;
2238N0954487X;;;;;
2338N4363552V;;;;;
2238N1182338K;;;;;
2238N2164873F;;;;;
2438N2154488W;;;;;
2238N1007693H;;;;;
2138N0878923O;;;;;
2338N0006988R;;;;;
2238N2596650A;;;;;
ALLEE DE LA BATIE;;;;;
"EMBELLIE ALPES""";;;;;
2438N1603911V;;;;;
2438N1482720Q;;;;;
2238N1463290G;;;;;
2338N2963232J;;;;;
2438N2152910E;;;;;
2338N1847403W;;;;;
2338N4433217G;;;;;
2438N2218341T;;;;;
2438N1045548I;;;;;
2138N0564093S;;;;;
"10 rue du Garat""";;;;;
2238N2470513P;;;;;
2138N0602328H;1412;910;0;;
2238N0733436Y;;;;;
2438N1317736C;;;;;
2238N1912896U;;;;;
2338N3988115Y;;;;;
2338N0327728V;;;;;
2138N0726689K;;;;;
2438N1277362G;;;;;
2338N3449586H;;;;;
2138N0858591O;;;;;
2238N2998384I;;;;;
2138N0230926P;;;;;
2473N1236951I;;;;;
"38000 Grenoble""";;;;;
2238N0944938Q;;;;;
2438N1685444S;;;;;
2338N3484051W;;;;;
2338N3658149Y;;;;;
2338N1681350F;;;;;
Bâtiment D;;;;;
" 67 avenue de Claix""";;;;;
2438N2152801Z;;;;;
2238N0894742A;;;;;
2338N3190350R;;;;;
"174 rue des Charbonnières""";;;;;
2238N1722082U;;;;;
2338N0799133U;;;;;
2338N0728532J;;;;;
2238N1394049D;;;;18561179.5;1106210.3
2238N2358147V;;;;;
2238N0816339N;;;;;
2238N1261021R;5330;860;0;;
2438N2152874U;;;;;
2238N2035420G;;;;;
2338N0977885W;;;;;
2438N2080701X;;;;;
" Lieu dit le Jacquin""";;;;;
2238N1590265X;;;;;
2338N3958829O;;;;;
2238N0900960E;;;;;
2438N1371364S;;;;;
2338N0145764F;;;;;
2238N3012727Z;;;;;
2438N3950523D;;;;;
2238N1526571D;;;;;
2238N1313712G;;;;;
2438N1446930C;;;;;
2338N2691955Q;;;;;
2338N2335799I;;;;;
2238N2596664O;;;;;
ALLEE DE LA BATIE;;;;;
"EMBELLIE ALPES""";;;;;
2156N0839018L;;;;;
2238N1511629L;;;;;
2438N1446934G;;;;;
2338N0759459W;;;;;
2238N3112174W;;;;;
2238N3129050Y;;;;;
2338N0781360F;;;;;
2238N2641821J;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;
"Girot""";;;;;
2238N3030420M;;;;;
ILOT OUEST;;;;;
LE GRAND PRE;;;;;
"ALLEE CHANTOURNES""";;;;;
2238N2570840I;;;;;
2238N1155537P;;;;;
2338N3634580L;;;;;
2138N0230873O;;;;;
2138N0894589C;;;;;
"Avenue de la Muzelle""";;;;;
2338N3202320B;;;;;
2338N4171583K;;;;;
"140 Route de Lyon""";;;;;
2138N0352416H;;;;;
2238N0637882U;;;;;
2138N0435557A;;;;;
2338N1963912Z;;;;;
2338N4094730N;;;;;
2438N0753789V;;;;;
2338N1963908V;;;;;
2338N0733991I;;;;;
2338N0513914V;;;;;
"2 Rue du Muret""";;;;;
2438N1207179X;;;;;
2338N0524591M;;;;;
2338N0206382R;;;;;
2238N1463299P;;;;;
2438N1501870E;;;;;
2338N1906225G;;;;;
2138N1042715G;;;;;
2238N0425006G;;;;;
2138N0622603C;;;;;
2238N2265076E;;;;;
2338N0705609S;1593;567;0;;
2338N1915002V;;;;;
2238N0378074E;;;;;
2362N3837757W;;;;;
2338N2175157U;;;;;
2338N1982161W;;;;;
2238N2477135H;;;;;
2438N1559303D;;;;10950348.2;1274071.3
2338N4082238B;;;;;
2338N1191229K;;;;;
2238N1580944K;;;;;
"Résidence Gueta""";;;;;
2338N0687931U;;;;;
"2 Rue du Muret""";;;;;
2138N0569794Z;;;;;
2438N2135422O;;;;;
2338N1744840D;;;;;
2238N3138892M;;;;;
2338N2133797A;;;;;
2238N2101130O;;;;;
2338N3511917Q;;;;;
2238N1932654S;;;;;
2238N2265092U;;;;;
2238N1312827F;;;;;
2238N0543070E;;;;;
2338N0241252V;;;;;
2238N0543072G;;;;;
2238N0378137P;;;;;
2238N3020887V;;;;;
ILOT SUD;;;;;
LE GRAND PRE;;;;;
"ALLEE CHANTOURNES""";;;;;
2338N3818777Y;;;;;
2238N0978437B;;;;;
2338N3115993U;;;;;
2338N2154325O;;;;;
2238N0540563T;;;;;
2138N0772441C;;;;;
"Rue Gay""";;;;;
2138N0894512D;;;;;
"Avenue de la Muzelle""";;;;;
2238N2855340Q;;;;;
2438N1111809V;;;;;
2238N2729974W;;;;;
2238N0547112Q;;;;;
2238N0654286S;;;;;
2238N0754528E;;;;;
2438N1606208E;;;;;
2138N0660129K;;;;;
2338N2542436X;;;;;
2338N2605962F;;;;;
2338N2083876Z;;;;;
2338N3577736D;;;;;
2238N2739476I;;;;;
"ZAC éco-quartier""";;;;;
2238N0978394K;;;;;
2338N2559895K;;;;;
2238N1658946M;;;;;
2138N0894349W;;;;;
"Avenue de la Muzelle""";;;;;
2138N0892598N;;;;;
2338N1681336R;;;;;
Bâtiment D;;;;;
" 67 avenue de Claix""";;;;;
2438N1112125Z;;;;;
2238N2849665J;;;;;
2238N2265192Q;;;;;
2238N0131417J;;;;;
2438N1176154Q;;;;;
2138N0661048T;;;;;
2338N3646295A;;;;;
2238N0327165D;;;;;
2338N2339263O;;;;;
2338N1707032Z;;;;;
2338N2465683W;;;;;
2338N3789340T;;;;;
2338N2339201E;;;;;
2238N2322866W;;;;;
2413N2062579Y;;;;;
2338N0687968F;;;;;
"2 Rue du Muret""";;;;;
2238N0535878O;;;;;
2438N0753818Y;;;;;
2238N2640300W;;;;;
2238N0578894A;;;;;
2238N2743932S;;;;;
ZAC éco-quartier;;;;;
"166 allée du Parc""";;;;;
2138N0919879U;;;;;
2338N2339223A;;;;;
2138N0458857E;;;;;
2238N0526181P;;;;;
2338N1032729G;;;;;
2338N3767023K;;;;;
2138N0368140B;;;;;
2238N0654309P;;;;;
2238N0446438O;;;;;
2238N0407739D;;;;;
2238N2266895D;;;;;
"Le Bourg""";;;;;
2138N0915100Z;1873;591;0;;
2138N1042509I;;;;;
2338N0790981G;;;;;
2438N2059591Z;;;;;
2438N1139300E;;;;;
Bâtiment D;;;;;
" 67 avenue de Claix""";;;;;
2238N0579070U;;;;;
2338N2392085E;;;;;
"13 rue Charles Piot""";;;;;
2338N2339260L;;;;;
2338N3869364P;;;;;
2238N1932664C;;;;;
2238N0965272S;;;;;
2338N1238886J;;;;;
2338N0688343Q;;;;;
"2 Rue du Muret""";;;;;
2338N1498285G;;;;;
2338N2206074X;;;;;
2238N0449401N;;;;;
2438N0602450C;;;;;
2238N1081408M;;;;;
2338N2911196Z;;;;;
2238N1217534C;;;;;
2338N1847380Z;;;;;
2338N3744676X;1513;605;0;;
2238N0965278Y;;;;;
2238N1251311F;;;;;
2338N4324238T;;;;;
2438N1341830U;;;;;
2338N1915209U;;;;;
2338N0972633W;;;;;
2338N0042833I;;;;;
2238N1426584M;;;;;
2238N3066658G;;;;;
2338N1748777O;;;;;
2138N0753132L;;;;;
2338N0781892R;;;;;
2338N0442311W;;;;;
2338N3992778H;;;;;
2338N3869372X;;;;;
2338N3202315W;;;;;
2238N1331197T;;;;;
2338N3871275C;;;;;
2338N1898254R;;;;;
2238N0672576E;;;;;
"Lot n°21""";;;;;
2438N3638372I;;;;;
2238N1217325B;;;;;
2238N2852625F;;;;;
2138N0593598N;;;;;
"Domaine des Rampeaux""";;;;;
2338N2465878J;;;;;
2238N0592889H;;;;;
2238N1070472W;;;;;
